county_fips,state_fips,state_name,county_name,total_population,total_female,area,population_density,hospital_beds,ventilator_capacity,icu_beds,poverty_estimate,median_household_income,gdp_per_capita,houses_density,less_than_high_school_diploma,high_school_diploma_only,some_college_or_associates_degree,bachelors_degree_or_higher,age_0_39,age_40_59,age_60_79,age_80_or_higher,total_college_population,smokers,diabetes,latitude,longitude
1001,1,Alabama,Autauga County,55601,28606,594.44,93.53509185,50,5.0,6.0,7587,59338,26.87,39.9267,11.3,32.6,28.4,27.7,56,28,14,2,0,10054,6172,32.53952745,-86.64408227
1003,1,Alabama,Baldwin County,218022,112365,1589.78,137.13973000000001,298,57.0,51.0,21069,57588,27.75,73.363,9.7,27.6,31.3,31.3,48,28,20,4,251966,38130,23328,30.72774991,-87.72207058
1005,1,Alabama,Barbour County,24881,11748,884.88,28.1179369,47,4.0,5.0,6788,34382,30.54,13.5668,27.0,35.7,25.1,12.2,52,29,17,4,0,5474,4379,31.868263,-85.3871286
1007,1,Alabama,Bibb County,22400,10479,622.58,35.9793119,180,4.0,4.0,4400,46064,16.17,14.8399,16.8,47.3,24.4,11.5,54,28,15,3,0,4282,3248,32.99642064,-87.12511459999997
1009,1,Alabama,Blount County,57840,29340,644.78,89.70501566,24,6.0,6.0,7527,50412,14.73,37.8873,19.8,34.0,33.5,12.6,51,27,18,3,0,11110,9833,33.98210918,-86.56790593
1011,1,Alabama,Bullock County,10138,4611,622.81,16.27783754,54,5.0,5.0,3610,29267,23.59,7.3088,24.8,39.7,22.3,13.3,54,29,16,3,0,2321,2403,32.10030533,-85.71265535
1013,1,Alabama,Butler County,19680,10515,776.83,25.333728100000002,61,8.0,7.0,4731,37365,28.5,12.9848,15.4,43.9,24.6,16.1,51,27,18,4,0,4283,3779,31.75300095,-86.68057478
1015,1,Alabama,Calhoun County,114277,59363,605.87,188.6163698,248,23.0,30.0,21719,45400,34.32,88.9432,15.9,32.4,33.7,18.0,52,27,17,4,77718,23555,19998,33.77483727,-85.82630386
1017,1,Alabama,Chambers County,33615,17522,596.53,56.35089602,0,0.0,0.0,6181,39917,57.39,28.5367,18.6,38.4,29.7,13.2,50,29,19,4,0,6519,6689,32.91360079,-85.39072749
1019,1,Alabama,Cherokee County,26032,13136,553.7,47.01462886,45,9.0,8.0,4180,42132,19.26,30.0903,19.8,38.3,29.0,12.9,44,29,22,3,0,4555,3957,34.17805983,-85.60638968
1021,1,Alabama,Chilton County,44153,22485,692.85,63.72663636,35,7.0,6.0,7542,47547,19.07,28.5646,17.8,44.1,24.0,14.2,54,27,17,3,0,8914,8212,32.85044126,-86.7173256
1023,1,Alabama,Choctaw County,12841,6771,913.5,14.05692392,25,4.0,4.0,2806,39907,41.89,8.0941,18.6,38.2,30.2,13.0,46,29,21,4,0,2413,2234,32.02227341,-88.26564429999998
1025,1,Alabama,Clarke County,23920,12592,1238.47,19.31415375,60,11.0,10.0,5381,40741,32.17,10.3418,18.8,43.7,24.9,12.6,51,29,18,4,228,4923,5358,31.68099859,-87.83548597
1027,1,Alabama,Clay County,13275,6783,603.96,21.97993245,129,4.0,4.0,2285,39201,25.36,11.317,24.5,36.3,29.1,10.2,47,29,19,4,0,2605,1792,33.26984193,-85.85836077
1029,1,Alabama,Cleburne County,14987,7566,560.1,26.75772184,0,0.0,0.0,2356,46495,19.68,12.23,22.6,39.6,24.1,13.7,49,28,19,4,0,2754,1873,33.67679204,-85.52005899
1031,1,Alabama,Coffee County,51909,26388,678.97,76.45256786,98,7.0,7.0,7053,55122,28.67,34.2769,13.8,27.9,34.9,23.4,53,27,17,4,15600,9055,8357,31.39932826,-85.98901039
1033,1,Alabama,Colbert County,54762,28503,592.62,92.40660119,280,23.0,22.0,7459,49055,50.57,45.1065,15.6,36.0,29.7,18.7,50,29,18,4,32326,10218,8871,34.69847452,-87.80168544
1035,1,Alabama,Conecuh County,12277,6396,850.16,14.44081114,38,9.0,8.0,2979,32613,35.93,8.4419,19.2,48.8,21.3,10.7,47,29,20,5,3646,2591,3180,31.43401703,-86.99320044
1037,1,Alabama,Coosa County,10715,5316,650.93,16.4610634,0,0.0,0.0,1973,42423,16.32,10.1301,20.4,38.6,29.5,11.6,44,31,20,4,0,2186,2229,32.93690146,-86.24847739
1039,1,Alabama,Covington County,36986,19090,1030.46,35.89270811,147,12.0,13.0,7239,40203,30.71,18.4141,17.1,35.4,32.5,14.9,47,28,20,4,16028,7120,5659,31.2477854,-86.45050893
1041,1,Alabama,Crenshaw County,13824,7150,608.84,22.705472699999998,64,5.0,5.0,2661,39057,29.44,11.2164,21.6,38.8,24.0,15.6,50,29,19,4,0,2578,2516,31.72941803,-86.31593104
1043,1,Alabama,Cullman County,83442,42197,734.84,113.5512493,145,10.0,12.0,11925,45796,30.96,51.7432,18.2,35.6,32.4,13.7,50,26,18,4,49454,14937,16104,34.13020303,-86.86888037
1045,1,Alabama,Dale County,48956,24933,561.15,87.24227034,68,6.0,6.0,7743,45309,50.86,41.2528,14.2,32.7,36.1,17.0,55,26,16,3,43276,9819,7735,31.43037123,-85.61095742
1047,1,Alabama,Dallas County,38310,20625,978.7,39.14376213,149,26.0,23.0,11841,34035,29.35,20.8041,19.3,35.2,30.4,15.1,52,28,16,4,16974,9228,6091,32.32688101,-87.10866709999998
1049,1,Alabama,DeKalb County,71385,35957,777.09,91.86194649,114,12.0,12.0,14975,39491,24.84,40.7417,25.9,33.3,28.1,12.7,53,27,17,3,0,15011,9137,34.45946862,-85.80782906
1051,1,Alabama,Elmore County,81887,42302,618.49,132.39826029999998,95,12.0,11.0,8559,60367,20.86,55.6484,13.6,32.8,29.0,24.5,53,28,15,2,4464,14291,12938,32.59785413,-86.14415284
1053,1,Alabama,Escambia County,36748,18120,945.08,38.88348076,82,16.0,14.0,8022,38418,31.4,17.6451,18.5,44.5,24.4,12.7,51,28,18,4,0,8236,6909,31.1256789,-87.15918694
1055,1,Alabama,Etowah County,102501,52848,534.99,191.5942354,558,92.0,85.0,17509,44903,27.23,89.4334,15.5,32.9,33.9,17.7,51,28,19,4,46138,20651,16093,34.04567266,-86.04051873
1057,1,Alabama,Fayette County,16433,8410,627.66,26.18137208,166,8.0,8.0,3801,39254,20.01,13.5535,17.6,41.5,27.9,12.9,47,27,21,4,0,2958,3829,33.72076938,-87.73886638
1059,1,Alabama,Franklin County,31363,15540,633.82,49.48250292,113,12.0,11.0,5939,39388,28.09,22.4496,23.2,36.8,27.1,12.9,53,26,18,4,0,6038,4642,34.44235334,-87.84289505
1061,1,Alabama,Geneva County,26314,13468,574.41,45.8104838,146,7.0,6.0,5537,37823,19.62,22.3708,20.9,37.2,30.8,11.1,47,28,20,4,0,5264,4447,31.09389027,-85.83572839
1063,1,Alabama,Greene County,8233,4346,647.11,12.72272102,91,4.0,4.0,2459,28524,27.99,7.8982,24.1,36.8,29.0,10.1,48,29,19,5,0,2028,1194,32.85504247,-87.95684022
1065,1,Alabama,Hale County,14726,7718,643.94,22.86859024,20,5.0,5.0,3705,34724,18.81,12.1828,16.4,42.6,26.9,14.1,50,29,18,4,0,3251,2621,32.76039258,-87.63284988
1067,1,Alabama,Henry County,17209,8909,561.75,30.63462394,0,0.0,0.0,3037,46027,19.14,16.3471,19.8,33.5,28.7,18.0,47,27,21,4,0,3172,2857,31.51148016,-85.24267944
1069,1,Alabama,Houston County,104722,54436,579.82,180.61122419999998,533,72.0,72.0,17032,47993,41.68,82.4118,14.3,31.6,33.0,21.0,53,27,18,4,5046,20159,14137,31.15197924,-85.29939599
1071,1,Alabama,Jackson County,51736,26346,1077.87,47.99836715,91,11.0,10.0,10046,41929,25.33,23.4286,17.5,40.8,27.5,14.2,49,29,20,4,25954,10326,8536,34.78144169,-85.99750489
1073,1,Alabama,Jefferson County,659300,347709,1111.28,593.2798215,3544,422.0,422.0,103604,55013,63.3,278.5617,10.3,26.8,30.6,32.4,53,27,14,4,427640,116182,85050,33.55554728,-86.89506300000002
1075,1,Alabama,Lamar County,13844,7077,604.85,22.88831942,0,0.0,0.0,2374,40936,21.25,12.2923,17.6,39.9,30.0,12.5,45,28,21,5,0,2828,2603,33.77995024,-88.09668032
1077,1,Alabama,Lauderdale County,92387,48060,667.7,138.36603259999998,321,39.0,36.0,12645,48707,26.65,68.089,12.6,36.0,27.5,23.9,50,27,18,4,68256,15388,12749,34.90171875,-87.65624729
1079,1,Alabama,Lawrence County,32957,16910,690.68,47.71674292,43,7.0,6.0,6297,43909,16.98,22.4055,21.0,41.5,25.8,11.7,48,30,18,3,0,6653,6361,34.52041498,-87.31069453
1081,1,Alabama,Lee County,163941,83302,607.54,269.84396089999996,549,15.0,20.0,30075,48937,37.75,115.8261,9.5,24.1,32.3,34.1,62,23,11,2,292450,28788,14755,32.60154883,-85.35132246
1083,1,Alabama,Limestone County,96174,48018,559.94,171.7576883,71,18.0,18.0,10633,64863,35.34,65.2373,15.7,30.3,28.5,25.5,53,29,15,2,122710,17478,13272,34.81185586,-86.98310072
1085,1,Alabama,Lowndes County,9974,5304,715.91,13.93191882,0,0.0,0.0,2474,33973,40.38,7.2970000000000015,22.5,38.6,24.8,14.1,49,29,18,4,0,2256,1386,32.1597283,-86.65158371
1087,1,Alabama,Macon County,18439,10056,608.89,30.28297394,0,0.0,0.0,5031,32495,22.95,16.8881,18.3,30.1,30.9,20.7,54,25,17,4,29456,3949,4241,32.38759944,-85.69267724
1089,1,Alabama,Madison County,366519,187445,801.59,457.23998550000016,1128,118.0,114.0,42667,63755,60.71,204.9327,8.9,20.8,28.6,41.7,52,29,14,3,177198,61649,49480,34.76327133,-86.55069633
1091,1,Alabama,Marengo County,19066,10133,976.88,19.51723856,46,4.0,5.0,4499,37733,33.65,10.6246,16.2,39.8,28.6,15.4,50,28,18,4,0,4072,3356,32.24767634,-87.78796182
1093,1,Alabama,Marion County,29763,15077,742.29,40.09618882,71,8.0,8.0,5844,37887,26.84,20.1256,20.3,34.8,31.7,13.1,46,28,21,4,0,5673,6072,34.13697363,-87.88704173
1095,1,Alabama,Marshall County,96109,48607,565.84,169.8519016,204,37.0,36.0,17341,46233,32.18,72.1335,19.1,31.1,30.5,19.2,53,26,18,3,22266,20200,11341,34.36975964,-86.30486727
