origin,State_Name,State_Post_Office_Code,County
ADK,ALASKA,AK,Aleutians West Census Area
AKK,ALASKA,AK,Kodiak Island Borough
,ALASKA,AK,Bethel Census Area
KKI,ALASKA,AK,Bethel Census Area
AKI,ALASKA,AK,Bethel Census Area
KQA,ALASKA,AK,Aleutians East Borough
7AK,ALASKA,AK,Aleutians East Borough
AUK,ALASKA,AK,Kusilvak Census Area
,ALASKA,AK,Bristol Bay Borough
,ALASKA,AK,Bristol Bay Borough
,ALASKA,AK,Dillingham Census Area
,ALASKA,AK,Bristol Bay Borough
,ALASKA,AK,Yukon-Koyukuk Census Area
,ALASKA,AK,Northwest Arctic Borough
,ALASKA,AK,Yukon-Koyukuk Census Area
,ALASKA,AK,Kodiak Island Borough
AKP,ALASKA,AK,Yukon-Koyukuk Census Area
,ALASKA,AK,Anchorage Municipality
,ALASKA,AK,Anchorage Municipality
,ALASKA,AK,Aleutian Islands County
,ALASKA,AK,Aleutian Islands County
,ALASKA,AK,Anchorage Municipality
,ALASKA,AK,Matanuska-Susitna Borough
,ALASKA,AK,Anchorage Municipality
,ALASKA,AK,Matanuska-Susitna Borough
,ALASKA,AK,Anchorage Municipality
,ALASKA,AK,Anchorage Municipality
,ALASKA,AK,Anchorage Municipality
,ALASKA,AK,Anchorage Municipality
ANC,ALASKA,AK,Anchorage Municipality
MRI,ALASKA,AK,Anchorage Municipality
,ALASKA,AK,Anchorage Municipality
,ALASKA,AK,Anchorage Municipality
,ALASKA,AK,Anchorage Municipality
,ALASKA,AK,Anchorage Municipality
,ALASKA,AK,Anchorage Municipality
,ALASKA,AK,Anchorage Municipality
,ALASKA,AK,Anchorage Municipality
,ALASKA,AK,Anchorage Municipality
,ALASKA,AK,Matanuska-Susitna Borough
,ALASKA,AK,Matanuska-Susitna Borough
,ALASKA,AK,Kenai Peninsula Borough
,ALASKA,AK,Seward County
AGN,ALASKA,AK,Hoonah-Angoon Census Area
ANI,ALASKA,AK,Bethel Census Area
,ALASKA,AK,Ketchikan Gateway Borough
,ALASKA,AK,Ketchikan Gateway Borough
ANV,ALASKA,AK,Yukon-Koyukuk Census Area
,ALASKA,AK,Kuskokwim County
ARC,ALASKA,AK,Yukon-Koyukuk Census Area
,ALASKA,AK,Aleutians West Census Area
,ALASKA,AK,Bethel Census Area
ATK,ALASKA,AK,North Slope Borough
,ALASKA,AK,Aleutian Islands County
,ALASKA,AK,Wrangell petersburg County
BRW,ALASKA,AK,North Slope Borough
BTI,ALASKA,AK,Yukon-Koyukuk Census Area
,ALASKA,AK,Skagway Municipality
,ALASKA,AK,Nome Census Area
,ALASKA,AK,Kobuk County
,ALASKA,AK,Kuskokwim County
,ALASKA,AK,Aleutian Islands County
WBQ,ALASKA,AK,Yukon-Koyukuk Census Area
,ALASKA,AK,Ketchikan Gateway Borough
,ALASKA,AK,Kenai Peninsula Borough
,ALASKA,AK,Bethel Census Area
,ALASKA,AK,Bethel Census Area
BET,ALASKA,AK,Bethel Census Area
BTT,ALASKA,AK,Yukon-Koyukuk Census Area
,ALASKA,AK,Yukon-Koyukuk Census Area
,ALASKA,AK,Aleutian Islands County
,ALASKA,AK,Matanuska-Susitna Borough
,ALASKA,AK,Matanuska-Susitna Borough
,ALASKA,AK,Matanuska-Susitna Borough
,ALASKA,AK,Matanuska-Susitna Borough
,ALASKA,AK,Matanuska-Susitna Borough
,ALASKA,AK,Matanuska-Susitna Borough
