State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",Median Household Income
00,0,US,United States,"41,852,315","61,937"
01,1000,AL,Alabama,"801,758","49,881"
01,1001,AL,Autauga County,"7,587","59,338"
01,1003,AL,Baldwin County,"21,069","57,588"
01,1005,AL,Barbour County,"6,788","34,382"
01,1007,AL,Bibb County,"4,400","46,064"
01,1009,AL,Blount County,"7,527","50,412"
01,1011,AL,Bullock County,"3,610","29,267"
01,1013,AL,Butler County,"4,731","37,365"
01,1015,AL,Calhoun County,"21,719","45,400"
01,1017,AL,Chambers County,"6,181","39,917"
01,1019,AL,Cherokee County,"4,180","42,132"
01,1021,AL,Chilton County,"7,542","47,547"
01,1023,AL,Choctaw County,"2,806","39,907"
01,1025,AL,Clarke County,"5,381","40,741"
01,1027,AL,Clay County,"2,285","39,201"
01,1029,AL,Cleburne County,"2,356","46,495"
01,1031,AL,Coffee County,"7,053","55,122"
01,1033,AL,Colbert County,"7,459","49,055"
01,1035,AL,Conecuh County,"2,979","32,613"
01,1037,AL,Coosa County,"1,973","42,423"
01,1039,AL,Covington County,"7,239","40,203"
01,1041,AL,Crenshaw County,"2,661","39,057"
01,1043,AL,Cullman County,"11,925","45,796"
01,1045,AL,Dale County,"7,743","45,309"
01,1047,AL,Dallas County,"11,841","34,035"
01,1049,AL,DeKalb County,"14,975","39,491"
01,1051,AL,Elmore County,"8,559","60,367"
01,1053,AL,Escambia County,"8,022","38,418"
01,1055,AL,Etowah County,"17,509","44,903"
01,1057,AL,Fayette County,"3,801","39,254"
01,1059,AL,Franklin County,"5,939","39,388"
01,1061,AL,Geneva County,"5,537","37,823"
01,1063,AL,Greene County,"2,459","28,524"
01,1065,AL,Hale County,"3,705","34,724"
01,1067,AL,Henry County,"3,037","46,027"
01,1069,AL,Houston County,"17,032","47,993"
01,1071,AL,Jackson County,"10,046","41,929"
01,1073,AL,Jefferson County,"103,604","55,013"
01,1075,AL,Lamar County,"2,374","40,936"
01,1077,AL,Lauderdale County,"12,645","48,707"
01,1079,AL,Lawrence County,"6,297","43,909"
01,1081,AL,Lee County,"30,075","48,937"
01,1083,AL,Limestone County,"10,633","64,863"
01,1085,AL,Lowndes County,"2,474","33,973"
01,1087,AL,Macon County,"5,031","32,495"
01,1089,AL,Madison County,"42,667","63,755"
01,1091,AL,Marengo County,"4,499","37,733"
01,1093,AL,Marion County,"5,844","37,887"
01,1095,AL,Marshall County,"17,341","46,233"
01,1097,AL,Mobile County,"84,539","43,598"
01,1099,AL,Monroe County,"4,560","39,556"
01,1101,AL,Montgomery County,"43,567","49,640"
01,1103,AL,Morgan County,"15,419","52,797"
01,1105,AL,Perry County,"2,943","26,814"
01,1107,AL,Pickens County,"4,177","37,586"
01,1109,AL,Pike County,"7,315","37,259"
01,1111,AL,Randolph County,"4,375","40,546"
01,1113,AL,Russell County,"12,384","39,104"
01,1115,AL,St. Clair County,"10,432","57,284"
01,1117,AL,Shelby County,"16,916","75,663"
01,1119,AL,Sumter County,"4,076","27,859"
01,1121,AL,Talladega County,"14,825","41,630"
01,1123,AL,Tallapoosa County,"7,839","42,205"
01,1125,AL,Tuscaloosa County,"33,330","52,557"
01,1127,AL,Walker County,"11,231","45,434"
01,1129,AL,Washington County,"2,846","44,424"
01,1131,AL,Wilcox County,"3,504","25,385"
01,1133,AL,Winston County,"4,338","41,156"
02,2000,AK,Alaska,"80,224","74,912"
02,2013,AK,Aleutians East Borough,544,"70,081"
02,2016,AK,Aleutians West Census Area,550,"82,633"
02,2020,AK,Anchorage Borough,"27,075","82,113"
02,2050,AK,Bethel Census Area,"5,869","44,304"
02,2060,AK,Bristol Bay Borough,96,"77,257"
02,2068,AK,Denali Borough,135,"75,477"
02,2070,AK,Dillingham Census Area,"1,091","54,524"
02,2090,AK,Fairbanks North Star Borough,"8,104","74,268"
02,2100,AK,Haines Borough,259,"58,943"
02,2105,AK,Hoonah-Angoon Census Area,370,"51,188"
02,2110,AK,Juneau Borough,"2,299","79,173"
02,2122,AK,Kenai Peninsula Borough,"7,103","65,439"
02,2130,AK,Ketchikan Gateway Borough,"1,244","68,309"
02,2150,AK,Kodiak Island Borough,"1,073","74,109"
02,2158,AK,Kusilvak Census Area,"2,905","32,728"
02,2164,AK,Lake and Peninsula Borough,288,"49,403"
02,2170,AK,Matanuska-Susitna Borough,"10,937","74,649"
02,2180,AK,Nome Census Area,"2,168","55,318"
02,2185,AK,North Slope Borough,"1,094","89,276"
02,2188,AK,Northwest Arctic Borough,"1,604","59,337"
02,2195,AK,Petersburg Borough,232,"66,075"
02,2198,AK,Prince of Wales-Hyder Census Area,"1,057","49,356"
02,2220,AK,Sitka Borough,656,"71,825"
02,2230,AK,Skagway Municipality,49,"74,635"
02,2240,AK,Southeast Fairbanks Census Area,918,"63,527"
02,2261,AK,Valdez-Cordova Census Area,880,"68,528"
02,2275,AK,Wrangell City and Borough,287,"57,832"
02,2282,AK,Yakutat Borough,79,"59,523"
02,2290,AK,Yukon-Koyukuk Census Area,"1,259","38,912"
04,4000,AZ,Arizona,"990,291","59,079"
04,4001,AZ,Apache County,"26,435","33,652"
04,4003,AZ,Cochise County,"18,273","49,164"
04,4005,AZ,Coconino County,"20,964","60,187"
04,4007,AZ,Gila County,"10,804","43,585"
04,4009,AZ,Graham County,"7,118","50,157"
04,4011,AZ,Greenlee County,985,"65,818"
04,4012,AZ,La Paz County,"4,921","37,350"
04,4013,AZ,Maricopa County,"535,183","65,234"
04,4015,AZ,Mohave County,"34,411","45,129"
04,4017,AZ,Navajo County,"30,876","40,650"
04,4019,AZ,Pima County,"164,927","53,395"
04,4021,AZ,Pinal County,"54,399","58,848"
04,4023,AZ,Santa Cruz County,"11,287","40,545"
04,4025,AZ,Yavapai County,"30,060","48,758"
04,4027,AZ,Yuma County,"39,648","44,116"
05,5000,AR,Arkansas,"492,306","47,094"
05,5001,AR,Arkansas County,"3,120","43,887"
05,5003,AR,Ashley County,"3,876","41,127"
05,5005,AR,Baxter County,"6,216","39,686"
05,5007,AR,Benton County,"23,290","68,978"
05,5009,AR,Boone County,"5,472","44,482"
05,5011,AR,Bradley County,"2,329","37,729"
05,5013,AR,Calhoun County,800,"44,969"
05,5015,AR,Carroll County,"4,499","45,023"
05,5017,AR,Chicot County,"3,039","31,787"
05,5019,AR,Clark County,"3,838","45,408"
05,5021,AR,Clay County,"3,035","37,687"
05,5023,AR,Cleburne County,"3,573","44,902"
05,5025,AR,Cleveland County,"1,232","47,600"
05,5027,AR,Columbia County,"4,799","40,909"
05,5029,AR,Conway County,"3,693","44,565"
05,5031,AR,Craighead County,"18,768","45,615"
05,5033,AR,Crawford County,"10,027","47,363"
05,5035,AR,Crittenden County,"9,056","42,606"
05,5037,AR,Cross County,"2,940","41,214"
05,5039,AR,Dallas County,"1,442","37,259"
05,5041,AR,Desha County,"2,780","36,132"
05,5043,AR,Drew County,"3,391","42,494"
05,5045,AR,Faulkner County,"18,571","53,882"
05,5047,AR,Franklin County,"3,202","43,696"
05,5049,AR,Fulton County,"2,481","35,630"
05,5051,AR,Garland County,"19,844","43,610"
05,5053,AR,Grant County,"2,353","52,050"
05,5055,AR,Greene County,"7,361","46,512"
05,5057,AR,Hempstead County,"4,424","38,682"
05,5059,AR,Hot Spring County,"5,844","47,205"
05,5061,AR,Howard County,"2,271","40,199"
05,5063,AR,Independence County,"5,302","45,596"
05,5065,AR,Izard County,"2,358","37,828"
05,5067,AR,Jackson County,"3,732","36,573"
05,5069,AR,Jefferson County,"13,900","38,596"
05,5071,AR,Johnson County,"5,761","39,381"
05,5073,AR,Lafayette County,"1,498","35,527"
05,5075,AR,Lawrence County,"2,776","40,308"
05,5077,AR,Lee County,"3,098","28,080"
05,5079,AR,Lincoln County,"2,647","44,951"
05,5081,AR,Little River County,"1,942","43,559"
05,5083,AR,Logan County,"3,950","41,471"
05,5085,AR,Lonoke County,"8,651","56,651"
05,5087,AR,Madison County,"3,002","42,674"
05,5089,AR,Marion County,"3,082","36,581"
05,5091,AR,Miller County,"9,228","42,162"
05,5093,AR,Mississippi County,"10,325","36,718"
05,5095,AR,Monroe County,"1,769","32,922"
05,5097,AR,Montgomery County,"1,649","38,318"
05,5099,AR,Nevada County,"1,738","37,626"
05,5101,AR,Newton County,"1,340","36,078"
05,5103,AR,Ouachita County,"5,410","37,624"
05,5105,AR,Perry County,"1,502","45,342"
05,5107,AR,Phillips County,"6,301","29,945"
05,5109,AR,Pike County,"1,856","41,534"
05,5111,AR,Poinsett County,"5,592","37,370"
05,5113,AR,Polk County,"3,962","39,048"
05,5115,AR,Pope County,"9,647","45,788"
05,5117,AR,Prairie County,"1,254","43,245"
05,5119,AR,Pulaski County,"64,312","49,957"
05,5121,AR,Randolph County,"3,050","37,799"
05,5123,AR,St. Francis County,"7,586","33,257"
05,5125,AR,Saline County,"11,695","63,677"
05,5127,AR,Scott County,"2,054","35,826"
05,5129,AR,Searcy County,"1,912","31,659"
05,5131,AR,Sebastian County,"19,527","46,843"
05,5133,AR,Sevier County,"3,402","44,100"
05,5135,AR,Sharp County,"3,541","36,032"
05,5137,AR,Stone County,"2,497","34,009"
05,5139,AR,Union County,"7,000","45,335"
05,5141,AR,Van Buren County,"2,685","40,486"
05,5143,AR,Washington County,"34,741","50,893"
05,5145,AR,White County,"12,505","44,811"
05,5147,AR,Woodruff County,"1,509","34,306"
05,5149,AR,Yell County,"3,453","41,729"
06,6000,CA,California,"4,972,955","75,250"
06,6001,CA,Alameda County,"147,394","101,744"
06,6003,CA,Alpine County,190,"55,384"
06,6005,CA,Amador County,"4,130","58,515"
06,6007,CA,Butte County,"42,016","50,945"
06,6009,CA,Calaveras County,"5,454","62,984"
06,6011,CA,Colusa County,"2,350","57,249"
06,6013,CA,Contra Costa County,"88,980","101,463"
06,6015,CA,Del Norte County,"5,065","48,518"
06,6017,CA,El Dorado County,"15,401","81,869"
06,6019,CA,Fresno County,"208,627","52,318"
06,6021,CA,Glenn County,"4,271","47,365"
06,6023,CA,Humboldt County,"27,002","49,471"
06,6025,CA,Imperial County,"37,014","46,633"
06,6027,CA,Inyo County,"2,172","53,793"
06,6029,CA,Kern County,"177,021","51,586"
06,6031,CA,Kings County,"25,481","58,255"
06,6033,CA,Lake County,"11,689","45,086"
06,6035,CA,Lassen County,"3,653","57,705"
06,6037,CA,Los Angeles County,"1,409,155","67,986"
06,6039,CA,Madera County,"30,201","53,632"
06,6041,CA,Marin County,"16,742","122,933"
06,6043,CA,Mariposa County,"2,569","51,402"
06,6045,CA,Mendocino County,"15,140","51,386"
06,6047,CA,Merced County,"56,863","56,169"
06,6049,CA,Modoc County,"1,631","45,227"
06,6051,CA,Mono County,"1,312","66,499"
06,6053,CA,Monterey County,"55,614","69,665"
06,6055,CA,Napa County,"11,829","85,624"
06,6057,CA,Nevada County,"10,171","66,681"
06,6059,CA,Orange County,"330,559","89,373"
06,6061,CA,Placer County,"27,596","89,175"
06,6063,CA,Plumas County,"2,317","55,079"
06,6065,CA,Riverside County,"307,511","66,793"
06,6067,CA,Sacramento County,"217,138","69,475"
06,6069,CA,San Benito County,"5,294","80,063"
06,6071,CA,San Bernardino County,"317,514","63,310"
06,6073,CA,San Diego County,"372,148","78,777"
06,6075,CA,San Francisco County,"87,596","110,601"
06,6077,CA,San Joaquin County,"105,351","63,567"
06,6079,CA,San Luis Obispo County,"34,200","70,626"
06,6081,CA,San Mateo County,"51,830","122,930"
06,6083,CA,Santa Barbara County,"54,029","75,646"
06,6085,CA,Santa Clara County,"139,074","125,933"
06,6087,CA,Santa Cruz County,"32,027","84,213"
06,6089,CA,Shasta County,"26,919","53,908"
06,6091,CA,Sierra County,392,"52,308"
06,6093,CA,Siskiyou County,"7,396","47,560"
06,6095,CA,Solano County,"34,281","82,808"
06,6097,CA,Sonoma County,"48,846","81,002"
06,6099,CA,Stanislaus County,"84,744","59,616"
06,6101,CA,Sutter County,"13,011","57,879"
06,6103,CA,Tehama County,"10,749","47,572"
06,6105,CA,Trinity County,"2,656","40,680"
06,6107,CA,Tulare County,"102,451","48,763"
06,6109,CA,Tuolumne County,"6,417","56,500"
06,6111,CA,Ventura County,"76,206","84,170"
06,6113,CA,Yolo County,"42,311","67,804"
06,6115,CA,Yuba County,"13,256","47,504"
08,8000,CO,Colorado,"540,579","71,949"
08,8001,CO,Adams County,"46,711","70,199"
08,8003,CO,Alamosa County,"2,954","42,897"
08,8005,CO,Arapahoe County,"52,474","76,665"
08,8007,CO,Archuleta County,"1,525","53,337"
08,8009,CO,Baca County,678,"38,294"
08,8011,CO,Bent County,"1,353","37,659"
08,8013,CO,Boulder County,"30,699","83,591"
08,8014,CO,Broomfield County,"3,364","96,924"
08,8015,CO,Chaffee County,"2,023","56,168"
08,8017,CO,Cheyenne County,230,"54,504"
08,8019,CO,Clear Creek County,686,"74,019"
08,8021,CO,Conejos County,"1,747","38,777"
08,8023,CO,Costilla County,964,"31,557"
08,8025,CO,Crowley County,"1,341","35,880"
08,8027,CO,Custer County,576,"55,242"
08,8029,CO,Delta County,"4,429","46,786"
08,8031,CO,Denver County,"82,104","68,069"
08,8033,CO,Dolores County,265,"47,482"
08,8035,CO,Douglas County,"8,975","120,670"
08,8037,CO,Eagle County,"3,673","86,896"
08,8039,CO,Elbert County,"1,312","98,247"
08,8041,CO,El Paso County,"68,538","67,923"
08,8043,CO,Fremont County,"6,525","47,885"
08,8045,CO,Garfield County,"4,946","74,421"
08,8047,CO,Gilpin County,410,"72,949"
08,8049,CO,Grand County,"1,219","69,214"
08,8051,CO,Gunnison County,"1,678","61,268"
08,8053,CO,Hinsdale County,69,"62,149"
08,8055,CO,Huerfano County,"1,459","38,242"
08,8057,CO,Jackson County,188,"51,457"
08,8059,CO,Jefferson County,"39,799","85,550"
08,8061,CO,Kiowa County,188,"44,704"
08,8063,CO,Kit Carson County,900,"48,342"
08,8065,CO,Lake County,970,"51,802"
08,8067,CO,La Plata County,"5,005","66,219"
08,8069,CO,Larimer County,"36,054","71,306"
08,8071,CO,Las Animas County,"2,626","41,485"
08,8073,CO,Lincoln County,744,"46,690"
08,8075,CO,Logan County,"2,674","53,168"
08,8077,CO,Mesa County,"21,463","51,132"
08,8079,CO,Mineral County,72,"60,210"
08,8081,CO,Moffat County,"1,614","59,500"
08,8083,CO,Montezuma County,"4,235","50,180"
08,8085,CO,Montrose County,"4,854","52,576"
08,8087,CO,Morgan County,"3,409","55,387"
08,8089,CO,Otero County,"3,722","40,064"
08,8091,CO,Ouray County,361,"68,900"
08,8093,CO,Park County,"1,487","72,121"
08,8095,CO,Phillips County,458,"52,367"
08,8097,CO,Pitkin County,"1,222","89,034"
08,8099,CO,Prowers County,"2,553","42,455"
08,8101,CO,Pueblo County,"28,127","48,308"
08,8103,CO,Rio Blanco County,653,"63,411"
08,8105,CO,Rio Grande County,"1,604","44,171"
