county FIPS code,state,county,state name,county name,TOT_POP,TOT_FEMALE,%female,Land area(Square Miles),population density,lat,beds(per1000),unoccupiedBeds(per1000),hospital-beds,Poverty Estimate,Median Household Income,houses per county area,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associates degree,Percent of adults with a bachelors degree or higher,%Age 0 to 39 years,%Age 40 to 59 years,%Age 60 to 79 years,%Age 80 years or older
51610,51,610,Virginia,Falls Church city,14772,7521,0.509138911,2.0,7386.0,38.8847,0.0,0.0,0,535,"137,551",3009.5,1.2,5.5,14.8,78.5,0.52,0.29000000000000004,0.16999999999999998,0.02
51678,51,678,Virginia,Lexington city,7136,3128,0.4383408070000001,2.5,2854.4,37.7825,0.0,0.0,0,"1,046","48,726",1003.2,10.0,26.1,24.3,39.5,0.6600000000000001,0.13,0.15,0.05
51685,51,685,Virginia,Manassas Park city,17307,8397,0.485179407,2.53,6840.711462,38.7718,0.0,0.0,0,"1,203","77,032",1926.8775,19.8,23.7,27.2,29.2,0.58,0.29000000000000004,0.1,0.02
51580,51,580,Virginia,Covington city,5460,2823,0.517032967,5.47,998.1718463999999,37.7785,0.0,0.0,0,826,"40,504",545.521,13.7,43.3,27.8,15.3,0.44,0.26,0.23,0.04
51600,51,600,Virginia,Fairfax city,24574,12358,0.502889233,6.24,3938.141026,38.8531,0.0,0.0,0,"1,823","105,532",1457.5321,7.0,13.2,21.1,58.7,0.55,0.26,0.16999999999999998,0.04
51530,51,530,Virginia,Buena Vista city,6237,3309,0.5305435310000001,6.7,930.8955223999999,37.7319,0.0,0.0,0,872,"43,390",427.4627,17.5,39.0,27.7,15.9,0.51,0.23,0.22,0.05
51595,51,595,Virginia,Emporia city,5121,2751,0.537199766,6.89,743.2510884999997,36.6953,0.0,0.0,0,"1,010","36,908",377.939,22.4,35.9,28.3,13.4,0.48,0.25,0.21,0.07
51720,51,720,Virginia,Norton city,3968,2109,0.531502016,7.48,530.4812833999998,36.9314,35.28225806,17.89314516,139,811,"34,442",262.0321,19.2,24.4,39.4,16.9,0.4900000000000001,0.24,0.21,0.05
51570,51,570,Virginia,Colonial Heights city,17833,9668,0.542140975,7.52,2371.409574,37.265,0.0,0.0,0,"1,756","56,800",1026.4628,9.1,32.2,35.4,23.2,0.51,0.24,0.2,0.06
51620,51,620,Virginia,Franklin city,8013,4397,0.548733308,8.21,976.0048721000001,36.6831,8.985398727,3.1199301139999998,71,"1,444","37,327",466.8697,17.2,30.6,31.1,21.1,0.49,0.24,0.22,0.05
51640,51,640,Virginia,Galax city,6423,3444,0.536198038,8.24,779.4902913,36.666,13.38938191,8.718667288999999,86,"1,326","36,571",386.5291,28.6,33.3,25.8,12.4,0.47,0.26,0.2,0.07
51830,51,830,Virginia,Williamsburg city,14896,8043,0.5399436089999999,9.02,1651.441242,37.2692,0.0,0.0,0,"2,437","52,845",587.2506,4.4,19.3,19.7,56.7,0.6100000000000001,0.15000000000000002,0.17,0.04
51840,51,840,Virginia,Winchester city,28108,14419,0.512985627,9.23,3045.287107,39.1735,17.25487406,5.443290167000001,484,"4,124","51,456",1297.7248,16.9,25.0,24.2,33.9,0.54,0.24,0.18,0.04
51750,51,750,Virginia,Radford city,18339,9720,0.5300179939999999,9.87,1858.054711,37.1229,0.0,0.0,0,"4,513","39,254",660.5876,10.0,23.5,27.4,39.1,0.6700000000000002,0.18000000000000002,0.11,0.02
51683,51,683,Virginia,Manassas city,41641,20766,0.498691194,9.88,4214.676113,38.7479,2.0892870009999998,0.288177517,87,"3,451","79,141",1405.5668,17.1,26.5,26.6,29.7,0.5800000000000001,0.26,0.14,0.02
51540,51,540,Virginia,Charlottesville city,48117,24801,0.515431137,10.24,4698.925781,38.0375,12.71899744,2.452355716,611,"10,614","56,997",2028.5156,9.1,18.7,19.7,52.6,0.6199999999999999,0.2,0.14,0.02
51670,51,670,Virginia,Hopewell city,22596,12060,0.533722783,10.28,2198.054475,37.2915,4.956629492,2.080014162,112,"4,381","42,568",1004.6693,18.5,36.4,31.7,13.5,0.55,0.23,0.18,0.04
51630,51,630,Virginia,Fredericksburg city,29144,15694,0.53849849,10.44,2791.5708809999996,38.2992,15.47488334,5.387043645,450,"3,851","58,448",1123.5632,10.3,23.2,24.4,42.1,0.6300000000000001,0.21,0.14,0.02
51690,51,690,Virginia,Martinsville city,12902,6926,0.536815998,10.96,1177.189781,36.6827,0.0,0.0,0,"3,098","33,892",643.7956,17.2,31.2,30.2,21.3,0.5,0.25,0.21,0.05
15005,15,5,Hawaii,Kalawao County,88,47,0.534090909,11.99,7.3394495410000005,21.2274,0.0,0.0,0,.,.,9.4245,13.0,27.5,34.8,24.6,0.13,0.30000000000000004,0.34,0.23
51520,51,520,Virginia,Bristol city,16482,8671,0.526089067,13.01,1266.871637,36.6179,0.0,0.0,0,"3,324","36,903",671.0223,16.3,30.4,29.2,24.1,0.46,0.27,0.22,0.06
51775,51,775,Virginia,Salem city,25643,13442,0.524197637,14.44,1775.831025,37.2864,20.31743556,2.9247744019999997,521,"2,280","57,274",752.5623,10.4,28.7,31.9,29.1,0.4900000000000001,0.25,0.21,0.05
51510,51,510,Virginia,Alexandria city,160530,83261,0.518663178,15.03,10680.63872,38.8185,1.9809381419999998,0.9281754190000001,318,"16,093","99,425",5091.7498,7.5,12.0,18.4,62.1,0.57,0.27,0.14,0.02
51820,51,820,Virginia,Waynesboro city,22628,11826,0.522626834,15.04,1504.521277,38.0674,0.0,0.0,0,"3,370","47,117",666.2234,13.4,32.8,28.9,25.0,0.52,0.25,0.2,0.04
51735,51,735,Virginia,Poquoson city,12190,6094,0.499917966,15.32,795.6919059999999,37.1318,0.0,0.0,0,618,"96,057",315.6005,4.0,26.0,27.2,42.8,0.48,0.27,0.22,0.05
51660,51,660,Virginia,Harrisonburg city,54033,28046,0.519053171,17.42,3101.779564,38.4362,4.515758888,1.832213647,244,"12,978","42,640",1051.2629,15.9,26.4,21.7,36.0,0.6900000000000002,0.18000000000000002,0.11,0.03
51790,51,790,Virginia,Staunton city,24922,13487,0.541168446,19.98,1247.3473470000001,38.1593,0.0,0.0,0,"2,937","47,319",592.5926,10.7,29.6,25.7,34.0,0.4900000000000001,0.25,0.23,0.06
36061,36,61,New York,New York County,1628701,857550,0.526523898,22.83,71340.38546,40.7834,5.353959996,1.111929077,8719,"245,347","84,610",38819.4919,13.0,12.4,13.7,60.8,0.5499999999999999,0.24,0.18,0.04
51730,51,730,Virginia,Petersburg city,31567,17059,0.54040612,22.93,1376.6681199999994,37.2043,9.313523616,3.928152818,294,"7,491","37,049",712.9961,19.0,34.3,28.6,18.0,0.53,0.23,0.2,0.04
44001,44,1,Rhode Island,Bristol County,48649,25147,0.516906822,24.16,2013.61755,41.6771,0.0,0.0,0,"3,557","80,231",871.5232,9.9,19.9,23.1,47.1,0.46,0.27,0.22,0.06
