stateFips,stateName,countyFips,countyName,date,totalGrade,visitationGrade,encountersGrade,travelDistanceGrade
02,Alaska,02020,Anchorage Municipality,2020-04-19,B-,B,B,C
02,Alaska,02020,Anchorage Municipality,2020-04-18,B-,A,B,D
02,Alaska,02020,Anchorage Municipality,2020-04-17,B-,B,B,C
02,Alaska,02020,Anchorage Municipality,2020-04-16,C+,C,B,C
02,Alaska,02020,Anchorage Municipality,2020-04-15,C+,C,B,C
02,Alaska,02020,Anchorage Municipality,2020-04-14,C+,C,B,C
02,Alaska,02020,Anchorage Municipality,2020-04-13,C-,F,B,C
02,Alaska,02020,Anchorage Municipality,2020-04-12,A-,A,A,B
02,Alaska,02020,Anchorage Municipality,2020-04-11,C,D,B,C
02,Alaska,02020,Anchorage Municipality,2020-04-10,C,D,B,C
02,Alaska,02020,Anchorage Municipality,2020-04-09,C,D,B,C
02,Alaska,02020,Anchorage Municipality,2020-04-08,C,F,B,B
02,Alaska,02020,Anchorage Municipality,2020-04-07,C-,F,B,C
02,Alaska,02020,Anchorage Municipality,2020-04-06,C,D,B,C
02,Alaska,02020,Anchorage Municipality,2020-04-05,B,B,B,B
02,Alaska,02020,Anchorage Municipality,2020-04-04,B-,B,B,C
02,Alaska,02020,Anchorage Municipality,2020-04-03,C-,F,B,C
02,Alaska,02020,Anchorage Municipality,2020-04-02,C+,D,B,B
02,Alaska,02020,Anchorage Municipality,2020-04-01,C-,F,B,C
02,Alaska,02020,Anchorage Municipality,2020-03-31,C-,F,B,C
02,Alaska,02020,Anchorage Municipality,2020-03-30,C-,F,B,C
02,Alaska,02020,Anchorage Municipality,2020-03-29,B-,C,B,B
02,Alaska,02020,Anchorage Municipality,2020-03-28,C+,C,C,B
02,Alaska,02020,Anchorage Municipality,2020-03-27,D+,F,C,C
02,Alaska,02020,Anchorage Municipality,2020-03-26,D+,F,C,C
02,Alaska,02020,Anchorage Municipality,2020-03-25,D+,F,C,C
02,Alaska,02020,Anchorage Municipality,2020-03-24,D+,F,C,C
02,Alaska,02020,Anchorage Municipality,2020-03-23,D+,F,C,C
02,Alaska,02020,Anchorage Municipality,2020-03-22,D+,F,C,C
02,Alaska,02020,Anchorage Municipality,2020-03-21,C+,C,B,C
02,Alaska,02020,Anchorage Municipality,2020-03-20,D,F,D,C
02,Alaska,02020,Anchorage Municipality,2020-03-19,D,F,D,C
02,Alaska,02020,Anchorage Municipality,2020-03-18,F,F,D,F
02,Alaska,02020,Anchorage Municipality,2020-03-17,F,F,D,F
02,Alaska,02020,Anchorage Municipality,2020-03-16,F,F,D,F
02,Alaska,02020,Anchorage Municipality,2020-03-15,F,F,D,F
02,Alaska,02020,Anchorage Municipality,2020-03-14,F,F,D,F
02,Alaska,02020,Anchorage Municipality,2020-03-13,F,F,D,F
02,Alaska,02020,Anchorage Municipality,2020-03-12,F,F,D,F
02,Alaska,02020,Anchorage Municipality,2020-03-11,F,F,F,F
02,Alaska,02020,Anchorage Municipality,2020-03-10,F,F,D,F
02,Alaska,02020,Anchorage Municipality,2020-03-09,F,F,D,F
02,Alaska,02020,Anchorage Municipality,2020-03-08,F,F,D,F
02,Alaska,02020,Anchorage Municipality,2020-03-07,F,F,F,F
02,Alaska,02020,Anchorage Municipality,2020-03-06,F,F,F,F
02,Alaska,02020,Anchorage Municipality,2020-03-05,F,F,F,F
02,Alaska,02020,Anchorage Municipality,2020-03-04,F,F,F,F
02,Alaska,02020,Anchorage Municipality,2020-03-03,F,F,F,F
02,Alaska,02020,Anchorage Municipality,2020-03-02,F,F,F,F
02,Alaska,02020,Anchorage Municipality,2020-03-01,F,F,D,F
02,Alaska,02020,Anchorage Municipality,2020-02-29,F,F,F,F
02,Alaska,02020,Anchorage Municipality,2020-02-28,F,F,F,F
02,Alaska,02020,Anchorage Municipality,2020-02-27,F,F,F,F
02,Alaska,02020,Anchorage Municipality,2020-02-26,F,F,F,F
02,Alaska,02020,Anchorage Municipality,2020-02-25,F,F,F,F
02,Alaska,02020,Anchorage Municipality,2020-02-24,F,F,F,F
02,Alaska,02198,Prince of Wales-Hyder Census Area,2020-04-19,C,,A,F
02,Alaska,02198,Prince of Wales-Hyder Census Area,2020-04-18,B-,,A,D
02,Alaska,02198,Prince of Wales-Hyder Census Area,2020-04-17,C,,A,F
02,Alaska,02198,Prince of Wales-Hyder Census Area,2020-04-16,B-,,A,D
02,Alaska,02198,Prince of Wales-Hyder Census Area,2020-04-15,B-,,A,D
02,Alaska,02198,Prince of Wales-Hyder Census Area,2020-04-14,A-,,A,B
02,Alaska,02198,Prince of Wales-Hyder Census Area,2020-04-13,B,,A,C
02,Alaska,02198,Prince of Wales-Hyder Census Area,2020-04-12,A-,,A,B
02,Alaska,02198,Prince of Wales-Hyder Census Area,2020-04-11,B-,,A,D
02,Alaska,02198,Prince of Wales-Hyder Census Area,2020-04-10,B-,,A,D
02,Alaska,02198,Prince of Wales-Hyder Census Area,2020-04-09,B,,A,C
02,Alaska,02198,Prince of Wales-Hyder Census Area,2020-04-08,B,,A,C
02,Alaska,02198,Prince of Wales-Hyder Census Area,2020-04-07,A-,,A,B
